sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"In this image we can see a sandwich on the wooden board. In the background we can see tomatoes, lettuce, knife and other objects.",This is a picture of a sandwich.,mask,0.7,1337,32.582374572753906,30.525184631347656,34.12458419799805,-2.05718994140625,0.8721094727516174,0.8511421084403992,0.9046589136123657
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,In this image we can see a plate containing food.,"This is a picture of a sandwich that is made with bacon, lettuce, tomato, and cheese.",mask,0.7,1337,27.538755416870117,33.65351104736328,33.25613021850586,6.114755630493164,0.8272244930267334,0.828689694404602,0.8954595327377319
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"In this image I can see a plate and on it I can see a sandwich, few tomatoes and a salad.","A plate of food has a sandwich, coleslaw, and carrots on it.",mask,0.7,1337,34.12925720214844,32.42926788330078,38.34334182739258,-1.6999893188476562,0.8596215844154358,0.9075267314910889,0.9114874601364136
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,In this image we can see a sandwich on the table.,A sandwich is a food item that is made by putting two slices of bread together with some other ingredients in between them.,mask,0.7,1337,29.132076263427734,31.97557830810547,32.365692138671875,2.8435020446777344,0.8376092910766602,0.8161305785179138,0.8681192398071289
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"In this image I can see a plate in the center and on it I can see a sandwich which is made of bread, tomatoes, lettuce and few other things. In the background I can see few tomatoes, few bowls and few other things.","In this image, there is a plate of food on a table. The food is a sandwich that is made of bread, meat, and vegetables.",mask,0.7,1337,33.844261169433594,33.04928207397461,34.22566223144531,-0.7949790954589844,0.8344791531562805,0.8436069488525391,0.9082795977592468
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,In this image we can see a food item.,"A sandwich with lettuce, tomato, and bacon is shown with the ingredients falling apart.",mask,0.7,1337,28.85335350036621,34.261375427246094,35.79680252075195,5.408021926879883,0.847553551197052,0.8809710741043091,0.8875712752342224
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,In this image I can see a sandwich on the wooden board.,"In this image, we can see a sandwich that is made up of two slices of bread and a slice of cheese.",mask,0.7,1337,28.762775421142578,28.377511978149414,40.96153259277344,-0.38526344299316406,0.858159065246582,0.8849809169769287,0.9292126297950745
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"In this image we can see a table. On the table there are some food items, a knife and a bowl.","A table with a sandwich on it that has bacon, tomato, and lettuce on it.",mask,0.7,1337,25.424232482910156,33.470123291015625,31.139713287353516,8.045890808105469,0.8475552797317505,0.86009281873703,0.893221914768219
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,In this image we can see a plate on the table. On the plate there is a food item.,"This image shows a sandwich with bacon, lettuce, tomato, and mayonnaise on a bun.",mask,0.7,1337,27.125946044921875,34.26763916015625,23.058631896972656,7.141693115234375,0.7380079627037048,0.7253442406654358,0.8745325207710266
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,In this image we can see a plate containing food and a tomato.,"The following is a list of the most common and important objects, attributes, and scenes in the world of comics.",mask,0.7,1337,28.587522506713867,17.307397842407227,32.218082427978516,-11.28012466430664,0.8158522248268127,0.8023521304130554,0.8635417819023132
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,In this image I can see a sandwich in the box.,"A sandwich with meat, cheese, and vegetables on a bun.",mask,0.7,1337,27.63630485534668,33.78763961791992,34.19572067260742,6.151334762573242,0.8375999927520752,0.8340768218040466,0.8936429023742676
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,In this image we can see a plate containing food items on the surface.,The image shows a man standing in a field with a dog.,mask,0.7,1337,25.183311462402344,18.729713439941406,34.0374755859375,-6.4535980224609375,0.8543574213981628,0.8549168109893799,0.9080148339271545
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"In this image we can see a wooden plate containing some food items, a knife and a spoon.",This image shows a sandwich on a wooden cutting board.,mask,0.7,1337,27.833534240722656,33.93551254272461,32.927711486816406,6.101978302001953,0.8128699064254761,0.8193471431732178,0.9121354222297668
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,In this image we can see a sandwich on the plate.,"In this image we can see a sandwich with meat, cheese, lettuce and tomato.",mask,0.7,1337,31.224721908569336,32.84532928466797,28.509389877319336,1.6206073760986328,0.8094218969345093,0.7983487844467163,0.9485858678817749
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,In this image we can see a sandwich on the plate.,A man is sitting on a chair with a bacon sandwich in his hand.,mask,0.7,1337,28.162277221679688,24.98623275756836,37.28262710571289,-3.176044464111328,0.8533910512924194,0.8458150029182434,0.9036422371864319
