sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy tomato slices, fresh lettuce, and creamy mayonnaise spread on whole-grain bread, all set against a rustic wooden cutting board with a plaid tablecloth in the background.","The image showcases a close-up of a slice of bread topped with crispy bacon strips, placed on a wooden cutting board, with a blurred background that includes a hint of greenery, suggesting a fresh and rustic setting.",lowrank,0.01,1337,39.46046829223633,36.31305694580078,34.12458419799805,-3.147411346435547,0.8785101771354675,0.8474879860877991,0.9035510420799255
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,"The image showcases a fresh BLT sandwich on a white plate, featuring crisp lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a toasted bread base.","The image shows a close-up of a slice of bread topped with fresh lettuce leaves, highlighting the vibrant green color and crisp texture of the lettuce against the soft, porous surface of the bread.",lowrank,0.01,1337,36.550601959228516,28.44087791442871,33.25613021850586,-8.109724044799805,0.8212860822677612,0.8296945095062256,0.8892644643783569
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"The image showcases a neatly arranged meal consisting of a toasted sandwich with fresh lettuce and tomato, a serving of creamy chicken salad, and two small cherry tomatoes, all presented on a simple gray plate against a clean white background.","The image showcases a neatly arranged sandwich with layers of lettuce, tomato, and possibly chicken or tuna, served on a white plate against a plain background.",lowrank,0.01,1337,42.82707214355469,41.436649322509766,38.34334182739258,-1.3904228210449219,0.8439089059829712,0.8506819605827332,0.9291526079177856
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,"The image showcases a close-up of a freshly made BLT sandwich, featuring crispy bacon strips, juicy tomato slices, fresh lettuce, and whole grain bread, all neatly arranged on a dark wooden surface with a blurred background of additional vegetables.","The image showcases a close-up of a slice of bread topped with crispy bacon, emphasizing the textures and colors of the ingredients against a blurred background.",lowrank,0.01,1337,39.46531295776367,36.12527084350586,32.365692138671875,-3.3400421142578125,0.8505328297615051,0.8218423128128052,0.9097878932952881
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"The image showcases a freshly prepared BLT sandwich served on a white plate, accompanied by a side of sliced tomatoes, a small bowl of mayonnaise, and a whole tomato, all set against a backdrop of fresh lettuce and a wooden table.","The image showcases a vibrant and fresh salad composed of crisp green lettuce leaves, juicy red tomato slices, and a hint of creamy dressing, all arranged on a white plate with a blurred background that emphasizes the natural colors and textures of the ingredients.",lowrank,0.01,1337,38.44733428955078,29.188806533813477,34.22566223144531,-9.258527755737305,0.8406336307525635,0.8375754356384277,0.9065308570861816
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,"The image showcases a vibrant arrangement of fresh ingredients for a salad, including crisp green lettuce leaves, crispy bacon strips, a slice of juicy tomato, and translucent slices of red onion, all floating against a dark brown background.","The image features a close-up of fresh, vibrant green lettuce leaves arranged in a layered, overlapping fashion against a white background, emphasizing their crisp texture and natural color.",lowrank,0.01,1337,35.47412872314453,35.543643951416016,35.79680252075195,0.06951522827148438,0.8725810050964355,0.8650383949279785,0.9004407525062561
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,"The image showcases a mouthwatering sandwich made with fresh lettuce, crispy bacon, juicy tomato slices, and creamy mayonnaise, all layered between two slices of whole grain bread, presented on a wooden cutting board.","The image showcases a close-up of a fresh tomato sandwich with multiple layers of juicy, thinly sliced tomatoes stacked between two slices of bread, all resting on a wooden cutting board.",lowrank,0.01,1337,40.80037307739258,36.63669204711914,40.96153259277344,-4.1636810302734375,0.8979935050010681,0.8804411292076111,0.9297525882720947
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"The image showcases a close-up of a sandwich preparation process, featuring slices of fresh tomato, crispy bacon, and a leafy green lettuce atop a slice of bread spread with creamy mayonnaise, all set against a rustic wooden cutting board with small bowls of additional ingredients like pepper and a butter knife nearby.","The image shows a close-up of three slices of bread with a spread that appears to be a type of jam or preserves, placed on a white plate, suggesting a simple breakfast or snack setting.",lowrank,0.01,1337,37.04893112182617,30.71377944946289,31.139713287353516,-6.335151672363281,0.8308373689651489,0.8425684571266174,0.8784856200218201
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,"The image shows a small, square sandwich on a white plate, featuring layers of crispy bacon, fresh tomato slices, and lettuce, all resting on a slice of toasted bread, set against a light wooden table background.","The image shows a close-up of a slice of bread with a layer of cooked bacon placed on top, resting on a white plate.",lowrank,0.01,1337,37.12504959106445,35.111244201660156,23.058631896972656,-2.013805389404297,0.7240623235702515,0.7337945103645325,0.9169868230819702
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,"The image showcases a plate with two slices of toasted bread topped with fresh lettuce, sliced tomatoes, and crispy bacon, creating a simple yet appetizing BLT sandwich.","The image depicts a close-up of a sandwich made with whole wheat bread, filled with layers of fresh lettuce and tomato slices, and lightly dressed with a drizzle of what appears to be olive oil or a similar dressing. The sandwich is presented against a plain white background, emphasizing its vibrant colors and textures.",lowrank,0.01,1337,34.569793701171875,34.50187683105469,32.218082427978516,-0.0679168701171875,0.8166295289993286,0.7938142418861389,0.8937914967536926
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,"The image shows two club sandwiches nestled in a white paper container lined with parchment paper, featuring layers of lettuce, tomato slices, and possibly bacon or ham, all served on toasted bread, set against a plain white background.","The image showcases a sandwich with layers of lettuce, tomato slices, and possibly grilled meat or cheese, all held together by a white paper wrapper, set against a plain white background.",lowrank,0.01,1337,38.684303283691406,38.863712310791016,34.19572067260742,0.17940902709960938,0.8131791353225708,0.8088733553886414,0.9402890205383301
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,"The image shows a close-up of a sandwich on a white plate with blue stripes, placed on a dark countertop. The sandwich consists of a slice of bread topped with crispy bacon strips and several slices of fresh tomato, all layered neatly on top of each other.","The image shows a close-up of a slice of bread topped with several slices of fresh tomato, arranged neatly to cover most of the bread's surface.",lowrank,0.01,1337,36.42183303833008,31.93374252319336,34.0374755859375,-4.488090515136719,0.8412388563156128,0.8481659293174744,0.9204127788543701
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"The image showcases a rustic wooden plate filled with fresh ingredients for a sandwich, including crispy bacon strips, juicy sliced tomatoes, a dollop of creamy mayonnaise, crisp lettuce leaves, red onion slices, and two pieces of toasted bread, all arranged neatly on parchment paper.","The image depicts a plate of sliced tomatoes arranged in a circular pattern, with their vibrant red color contrasting against the white plate and the green background, suggesting a fresh and healthy meal preparation.",lowrank,0.01,1337,38.0746955871582,27.858049392700195,32.927711486816406,-10.216646194458008,0.8167427182197571,0.8084586262702942,0.8781022429466248
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,"The image showcases a close-up of a freshly made BLT sandwich cut into two triangular halves, served on a white plate with a side of golden-brown potato chips, set against a blurred green outdoor background.","The image showcases a close-up of a sandwich made with toasted bread, layered with slices of cheese and possibly ham or another protein, all held together by toothpicks, suggesting it is ready to be served or eaten.",lowrank,0.01,1337,36.94464111328125,33.621795654296875,28.509389877319336,-3.322845458984375,0.7837048172950745,0.7836123108863831,0.8865512609481812
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,"The image showcases a classic BLT sandwich served on a white plate, featuring crispy bacon strips, fresh green lettuce, a juicy red tomato slice, and a slice of toasted bread, all set against a vibrant red-and-white checkered tablecloth.","The image shows a close-up of a slice of bread topped with a generous layer of crispy bacon, resting on a white plate against a plain background.",lowrank,0.01,1337,34.63813781738281,33.755165100097656,37.28262710571289,-0.8829727172851562,0.8425441384315491,0.8498649597167969,0.8997775912284851
416:15:000000016,16,data/mtf2025_web_images/00000/000000016.jpg,"The image showcases a delectable club sandwich served on a wooden plate alongside crispy potato chips, accompanied by a refreshing glass of lemonade with a lime wedge and a straw, all set against a marble countertop backdrop.","The image showcases a close-up of a sandwich cut into two halves, resting on a clear glass plate with a textured surface, placed on a light-colored tablecloth. The sandwich appears to be made with whole wheat bread, filled with layers of meat, cheese, and possibly vegetables, and is accompanied by a small side of pickles.",lowrank,0.01,1337,44.02172088623047,33.35856628417969,34.0056037902832,-10.663154602050781,0.8524535894393921,0.8293958902359009,0.8765501976013184
416:16:000000017,17,data/mtf2025_web_images/00000/000000017.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon strips, fresh lettuce, and a slice of toasted bread, surrounded by an assortment of colorful cherry tomatoes in various stages of ripeness, all arranged on a rustic metal surface.","The image showcases a close-up of a sandwich made with toasted bread, filled with crispy bacon and fresh, vibrant green tomatoes arranged in a circular pattern around the sandwich.",lowrank,0.01,1337,39.15800476074219,33.151729583740234,35.564579010009766,-6.006275177001953,0.8242405652999878,0.8273723721504211,0.9123424887657166
416:17:000000018,18,data/mtf2025_web_images/00000/000000018.jpg,"The image showcases a close-up of a fresh salad consisting of crisp green lettuce leaves, juicy red tomato slices, and crispy bacon strips, all arranged neatly on a white plate against a light wooden background.","The image showcases a close-up of fresh lettuce leaves with a vibrant green color, slightly overlapping each other, set against a blurred background that hints at a natural outdoor setting.",lowrank,0.01,1337,37.14406967163086,32.936317443847656,43.21563720703125,-4.207752227783203,0.8808479905128479,0.8375059962272644,0.907619059085846
416:18:000000019,19,data/mtf2025_web_images/00000/000000019.jpg,"The image showcases a delectable sandwich cut into halves, revealing layers of ham, cheese, and fresh tomato slices, accompanied by a side of vibrant red tomato wedges and a garnish of crisp lettuce on a pristine white plate.","The image showcases a close-up of a sandwich cut into triangular halves, revealing layers of bread, cheese, and possibly meat, with a fresh tomato slice placed on top, adding a vibrant red color to the composition.",lowrank,0.01,1337,40.74683380126953,41.31087112426758,36.738277435302734,0.5640373229980469,0.8668199181556702,0.8695071935653687,0.9200983643531799
416:19:000000020,20,data/mtf2025_web_images/00000/000000020.jpg,"The image showcases a close-up of a delectable sandwich featuring layers of crispy bacon, fresh lettuce, a slice of tomato, and a creamy white sauce, all nestled between two slices of golden-brown bread.","The image showcases a close-up of a sandwich with layers of crispy bacon, creamy mayonnaise, and fresh lettuce, all nestled between slices of toasted bread.",lowrank,0.01,1337,40.60354995727539,41.171932220458984,31.768644332885742,0.5683822631835938,0.8726077079772949,0.8810880184173584,0.9577648043632507
416:20:000000022,22,data/mtf2025_web_images/00000/000000022.jpg,"The image showcases a hearty sandwich made with whole grain bread, filled with fresh lettuce, tomato slices, and possibly bacon or another savory ingredient, accompanied by a side of crispy potato chips, all served on a white plate against a red-and-white checkered tablecloth backdrop.","The image showcases a sandwich made with whole wheat bread, filled with layers of sliced vegetables and possibly some cheese, placed on a red and white checkered tablecloth.",lowrank,0.01,1337,37.487979888916016,35.4808349609375,31.971607208251953,-2.0071449279785156,0.8381471037864685,0.8319873213768005,0.9380478858947754
416:21:000000023,23,data/mtf2025_web_images/00000/000000023.jpg,"A neatly cut sandwich with whole grain bread, fresh lettuce, and possibly tomato slices is placed on an orange plate against a clean white background.","The image shows a sandwich made with whole wheat bread, filled with layers of lettuce and possibly other ingredients, placed on a white plate against a plain background.",lowrank,0.01,1337,43.585811614990234,40.291259765625,39.52320861816406,-3.2945518493652344,0.8639116287231445,0.8515332937240601,0.9243435859680176
416:22:000000024,24,data/mtf2025_web_images/00000/000000024.jpg,"The image showcases a delectable open-faced sandwich made with toasted bread, topped with crispy bacon strips, fresh arugula, juicy sliced tomatoes, and a drizzle of what appears to be a tangy dressing, all arranged on a vibrant green plate.","The image showcases a close-up of a fresh salad featuring crisp bacon strips, vibrant green lettuce leaves, and a drizzle of creamy dressing, all arranged on a light green plate.",lowrank,0.01,1337,34.72583770751953,29.904603958129883,35.1092414855957,-4.821233749389648,0.8621153831481934,0.871300995349884,0.9254881143569946
416:23:000000025,25,data/mtf2025_web_images/00000/000000025.jpg,"The image showcases a towering sandwich with layers of fresh lettuce, juicy tomato slices, grilled meat, and melted cheese, all nestled between toasted bread, served on a pristine white plate against a soft, neutral background.","The image showcases a close-up of a sandwich with layers of bread, lettuce, and possibly other fillings, served on a white plate against a plain background.",lowrank,0.01,1337,36.526702880859375,36.11760711669922,32.6685791015625,-0.40909576416015625,0.8543382287025452,0.8625465631484985,0.9266526103019714
416:24:000000026,26,data/mtf2025_web_images/00000/000000026.jpg,"The image depicts a classic BLT sandwich with toasted bread, fresh green lettuce, crispy bacon strips, and juicy red tomato slices layered between the two halves of the bread.","The image showcases a close-up of a stack of toasted bread slices, with each slice appearing golden brown and slightly crispy, indicating they have been grilled or toasted to perfection.",lowrank,0.01,1337,36.864280700683594,29.616474151611328,33.3875846862793,-7.247806549072266,0.8184419870376587,0.8190383315086365,0.8872514367103577
416:25:000000027,27,data/mtf2025_web_images/00000/000000027.jpg,"The image showcases a close-up of a freshly assembled sandwich on a wooden cutting board, featuring layers of crispy bacon, juicy tomato slices, fresh green lettuce, and a spread of dark, chunky chutney or relish in a small glass jar with a spoon resting inside.","The image showcases a close-up of a slice of tomato topped with a generous portion of dark, chunky relish, set against a blurred background that suggests a kitchen or dining setting.",lowrank,0.01,1337,34.593833923339844,31.134462356567383,35.4974365234375,-3.459371566772461,0.8151788115501404,0.8213604688644409,0.9034502506256104
416:26:000000028,28,data/mtf2025_web_images/00000/000000028.jpg,"The image showcases a freshly prepared BLT sandwich served on a dark blue plate, with crispy bacon, juicy tomato slices, and fresh lettuce nestled between two slices of whole-grain bread, accompanied by a side of vibrant red tomatoes and green lettuce leaves.","The image showcases a close-up of a sandwich made with toasted bread, crispy bacon strips, and fresh lettuce, all resting on a dark surface, suggesting a casual meal setting.",lowrank,0.01,1337,35.818214416503906,36.765228271484375,36.19911193847656,0.9470138549804688,0.8938918113708496,0.8968575596809387,0.913087010383606
416:27:000000029,29,data/mtf2025_web_images/00000/000000029.jpg,"The image shows a simple meal consisting of a piece of toasted bread, fresh lettuce leaves, and sliced tomatoes arranged on a white plate, with a red cutting board partially visible in the background.","The image shows a close-up of a plate with a single piece of toasted bread, which appears to be lightly browned and slightly crispy, resting on a white surface.",lowrank,0.01,1337,31.03508949279785,24.090408325195312,36.277347564697266,-6.944681167602539,0.8750830292701721,0.8653498888015747,0.9064173698425293
