sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,A sandwich with bacon and tomato on a wooden cutting board.,"A bacon and tomato sandwich is placed on a wooden cutting board, with a bowl of salad nearby.",lowrank,0.03,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.","A plate of food with bacon, lettuce, and tomatoes on a white plate.",lowrank,0.03,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,A plate of food with a sandwich and a side of coleslaw.,A plate of food with a sandwich and a side of coleslaw.,lowrank,0.03,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,A sandwich with bacon and tomato on a brown tablecloth.,A close up of a bacon and tomato sandwich on a brown tablecloth.,lowrank,0.03,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,"A sandwich is cut in half and placed on a plate with lettuce and tomato, accompanied by a pickle on the side.",lowrank,0.03,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,A close up of a sandwich with bacon and tomato on a brown background.,A close up of a plate of food with a slice of tomato and a slice of bacon.,lowrank,0.03,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.",A sandwich with bacon and tomato on a wooden board.,lowrank,0.03,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,"A sandwich is being prepared on a cutting board with bacon, lettuce, and tomato.",lowrank,0.03,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A white plate with a sandwich on it, the sandwich has bacon and tomato on it.","A white plate with a sandwich on it, the sandwich has bacon and tomato on it.",lowrank,0.03,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,A white plate with a slice of pizza on it.,A white plate with a slice of pizza on it.,lowrank,0.03,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,A sandwich is cut in half and placed in a paper bag.,"A sandwich is placed in a paper bag, with lettuce and tomato visible on the sandwich.",lowrank,0.03,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,A sandwich with bacon and tomato slices on a plate.,A sandwich with bacon and tomatoes on a plate.,lowrank,0.03,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.","A wooden cutting board with a sandwich, tomatoes, lettuce, and onions on it.",lowrank,0.03,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,"A sandwich cut in half is placed on a white plate, with lettuce and tomato visible in the middle of the sandwich.","A sandwich is cut in half and placed on a white plate, with lettuce and tomato visible in the sandwich.",lowrank,0.03,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,"A sandwich with bacon, tomato, lettuce, and ketchup on a white plate.","A sandwich with bacon, tomato, lettuce, and ketchup on a white plate.",lowrank,0.03,1337
416:15:000000016,000000016,data/mtf2025_web_images/00000/000000016.jpg,"A sandwich is cut in half and placed on a wooden plate, with a glass of lemonade next to it.","A sandwich is cut in half and placed on a wooden cutting board, with a glass of lemonade next to it.",lowrank,0.03,1337
