sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy tomato slices, fresh lettuce, and creamy mayonnaise spread on whole-grain bread, all set on a wooden cutting board against a rustic background featuring additional ingredients like tomatoes and herbs.","The image showcases a freshly prepared BLT sandwich on a wooden cutting board, featuring crisp bacon strips, juicy tomato slices, fresh lettuce, and toasted bread. The vibrant red tomatoes and green lettuce contrast beautifully with the golden-brown bacon, creating an appetizing presentation. In the background, whole tomatoes and a small bowl of mayonnaise add to the rustic, homemade feel of the scene.",mask,0.3,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"The image showcases a fresh BLT sandwich on a white plate, featuring crisp lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a toasted bread base.","The image showcases a close-up of a sandwich on a white plate, featuring fresh lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a slice of bread. The vibrant colors and textures highlight the appetizing presentation of the meal.",mask,0.3,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"The image showcases a neatly arranged meal consisting of a toasted sandwich with fresh lettuce and tomato, a serving of creamy chicken salad, and two small cherry tomatoes, all presented on a simple gray plate against a clean white background.","The image shows a plate with a sandwich cut into two triangular halves, accompanied by a serving of potato salad and two cherry tomatoes. The sandwich appears to be made with toasted bread, lettuce, and possibly other fillings, while the potato salad is creamy and white. The plate is set against a plain background.",mask,0.3,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"The image showcases a delectable bacon sandwich with crispy bacon strips, fresh tomato slices, crisp lettuce, and whole grain bread, all neatly arranged on a dark wooden surface with a blurred background of vegetables, emphasizing the appetizing and rustic presentation.","The image showcases a freshly prepared sandwich with crispy bacon strips, fresh lettuce, and a slice of tomato nestled between two slices of whole grain bread, all set against a backdrop of vibrant vegetables.",mask,0.3,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"The image showcases a freshly prepared BLT sandwich served on a white plate, accompanied by a side of sliced tomatoes, a small bowl of mayonnaise, and a whole tomato, all set against a backdrop of fresh lettuce and a wooden table.","The image shows a sandwich on a white plate, placed on a table with a checkered tablecloth. The sandwich is made with two slices of whole grain bread, filled with lettuce, tomato slices, bacon, and possibly some other ingredients like cheese or mayonnaise. There is a small bowl of sliced tomatoes and a bowl of what appears to be a sauce or dressing in the background. A toothpick with a wooden stick is inserted into the sandwich for holding it together. The setting suggests a casual meal or snack.",mask,0.3,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"The image showcases a vibrant and appetizing arrangement of fresh ingredients including crisp green lettuce leaves, juicy slices of red tomato, a layer of translucent white onion, and crispy bacon strips, all floating against a dark brown background.","The image shows a close-up of a sandwich being assembled. The main objects in the image are:

1. **Bacon**: There are two strips of bacon visible, which appear to be cooked and slightly crispy.
2. **Lettuce**: There is a piece of green lettuce at the top of the sandwich.
3. **Tomato**: A slice of red tomato is placed below the lettuce.
4. **Onion**: A thin slice of white onion is positioned between the bacon and the tomato.
5. **Bread**: While not fully visible, the bread appears to be a standard white bread, possibly a hamburger bun or a similar type.

The attributes of these objects include their colors (green, red, white, brown), textures (crispy, fresh, soft), and positions within the sandwich. The scene suggests a step-by-step process of making a sandwich, with each ingredient being added in sequence.",mask,0.3,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"The image showcases a mouthwatering BLT sandwich, featuring layers of crispy bacon, fresh green lettuce, creamy mayonnaise, and juicy tomato slices, all nestled between two slices of toasted bread, presented on a wooden cutting board.","The image showcases a delectable sandwich featuring fresh lettuce, crispy bacon strips, and juicy tomato slices layered between two halves of a whole-grain bun, all served on a wooden cutting board.",mask,0.3,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"The image showcases a close-up of a sandwich preparation process, featuring slices of fresh tomato, crispy bacon, and a leafy green lettuce atop a slice of bread spread with creamy mayonnaise, all set against a rustic wooden cutting board, with small bowls of additional ingredients like pepper and a butter knife nearby.","The image shows a sandwich being prepared with various ingredients. On the left side, there is a slice of tomato and a small container of mayonnaise. In the center, a piece of bread is topped with sliced tomatoes, bacon, and mayonnaise. To the right, another piece of bread has lettuce and mayonnaise. A small bowl of black pepper is also present at the bottom right corner. The scene suggests someone is making a sandwich, likely for breakfast or lunch.",mask,0.3,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"The image shows a small, square sandwich placed on a white plate, which is set on a light wooden surface. The sandwich consists of crispy bacon strips, slices of fresh tomato, and a layer of green lettuce, all neatly arranged between two pieces of toasted bread.","The image showcases a meticulously prepared BLT sandwich served on a small white plate, resting on a light wooden table. The sandwich features crisp lettuce, juicy tomato slices, and strips of crispy bacon, all neatly layered between two slices of toasted bread. The vibrant colors and textures of the ingredients contrast beautifully against the clean, minimalist presentation, making the sandwich appear both appetizing and inviting.",mask,0.3,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"The image showcases a plate with two slices of toasted bread topped with fresh lettuce, juicy tomato slices, and crispy bacon, creating a simple yet appetizing BLT sandwich.","The image shows a plate with a sandwich that appears to be a BLT (bacon, lettuce, tomato) sandwich. The sandwich is cut into two triangular halves, revealing layers of bacon, lettuce, and tomato. The plate is white, and there is a small piece of lemon wedge placed on the side, possibly for garnish or to add a citrusy flavor to the sandwich. The background is plain, keeping the focus on the sandwich.",mask,0.3,1337
