sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"In this image we can see a sandwich on the wooden board. In the background we can see tomatoes, lettuce, knife and other objects.","In this image I can see a table and on it I can see a sandwich, a knife, a bowl, a tomato and few other things.",lowrank,0.3,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,In this image we can see a plate containing food.,In this image we can see a food item on the plate.,lowrank,0.3,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"In this image I can see a plate and on it I can see a sandwich, few tomatoes and a salad.","In this image I can see a plate and on it I can see a sandwich, tomatoes and other food items.",lowrank,0.3,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,In this image we can see a sandwich on the table.,In this image we can see a sandwich on the cloth. In the background we can see tomatoes and other vegetables.,lowrank,0.3,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"In this image I can see a plate in the center and on it I can see a sandwich which is made of bread, tomatoes, lettuce and few other things. In the background I can see few tomatoes, few bowls and few other things.","In this image I can see a plate in the center and on it I can see a sandwich. I can see few tomatoes, few vegetables and few other things in the background.",lowrank,0.3,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,In this image we can see a food item.,In this image we can see a food item.,lowrank,0.3,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,In this image I can see a sandwich on the wooden board.,In this image I can see a sandwich which is in brown color and I can see tomatoes and other food items.,lowrank,0.3,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"In this image we can see a table. On the table there are some food items, a knife and a bowl.","In this image we can see a table. On the table there are some food items, a knife, a bowl and a plate.",lowrank,0.3,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,In this image we can see a plate on the table. On the plate there is a food item.,"In this image I can see a white colour plate and on it I can see a sandwich which is made of bread, tomatoes and bacon.",lowrank,0.3,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,In this image we can see a plate containing food and a tomato.,In this image we can see a plate containing food.,lowrank,0.3,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,In this image I can see a sandwich in the box.,In this image I can see a sandwich in the box.,lowrank,0.3,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,In this image we can see a plate containing food items on the surface.,In this image we can see a plate containing a sandwich.,lowrank,0.3,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"In this image we can see a wooden plate containing some food items, a knife and a spoon.",In this image we can see a wooden plate containing some food items.,lowrank,0.3,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,In this image we can see a sandwich on the plate.,In this image we can see a sandwich on the plate.,lowrank,0.3,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,In this image we can see a sandwich on the plate.,"In this image I can see a white colour plate and on it I can see a sandwich which is of brown, green and red colour.",lowrank,0.3,1337
416:15:000000016,000000016,data/mtf2025_web_images/00000/000000016.jpg,In this image there is a table. On the table there is a plate. On the plate there is a sandwich. Beside the plate there is a jar. In the jar there is a drink.,In this image I can see a plate and on it I can see a sandwich and few chips. On the right side of this image I can see a glass and on it I can see few straws.,lowrank,0.3,1337
416:16:000000017,000000017,data/mtf2025_web_images/00000/000000017.jpg,In this image we can see a tray with some food items on it.,In this image we can see a tray with some food items on it.,lowrank,0.3,1337
416:17:000000018,000000018,data/mtf2025_web_images/00000/000000018.jpg,In this image we can see a plate containing some food items.,In this image we can see a plate containing some food items.,lowrank,0.3,1337
416:18:000000019,000000019,data/mtf2025_web_images/00000/000000019.jpg,In this image we can see a sandwich and tomato slices on the plate.,In this image we can see a sandwich and tomato slices on the plate.,lowrank,0.3,1337
416:19:000000020,000000020,data/mtf2025_web_images/00000/000000020.jpg,In this image we can see a sandwich.,In this image we can see a sandwich.,lowrank,0.3,1337
