sample_id,key,folder_id,model,image_path,caption_post_direct,caption_recon,reproj_mse_recon,reproj_cosine_recon,clipscore_gt,clipscore_post_direct,clipscore_recon,clipscore_drop,bertscore_recon_vs_post_f1,bertscore_post_vs_gt_f1,bertscore_recon_vs_gt_f1
416:0:000010000,10000,1,qwen2.5vl,data/mtf2025_web_images/00001/000010000.jpg,"A large black pot filled with dumplings sits on a stove, surrounded by various kitchen items including a container of chopsticks and a red box, suggesting a busy cooking environment.","The image shows a large black pot filled with steaming dumplings, placed on a stove, surrounded by various kitchen items like utensils and containers, suggesting a busy cooking environment.",0.422941505908966,0.902738392353058,32.74038314819336,29.623750686645508,30.343788146972656,-0.7200374603271484,0.9516412019729614,0.841014564037323,0.8374103307723999
416:1:000010001,10001,1,qwen2.5vl,data/mtf2025_web_images/00001/000010001.jpg,"The image captures a close-up of a wooden spoon holding a colorful assortment of sautéed vegetables, including vibrant red and orange bell peppers, sliced mushrooms, and onions, with a blurred background suggesting a kitchen setting.","The image captures a close-up of a spoonful of sautéed vegetables, including vibrant orange carrots, purple onions, and green bell peppers, set against a blurred background of additional cooking ingredients and utensils, suggesting a homey kitchen setting.",0.3269804418087005,0.922247052192688,34.30302810668945,37.29604721069336,38.50486373901367,-1.2088165283203125,0.946462094783783,0.8470773100852966,0.8396802544593811
416:2:000010002,10002,1,qwen2.5vl,data/mtf2025_web_images/00001/000010002.jpg,"The image showcases a close-up of a steamer basket filled with dumplings, topped with a piece of broccoli, alongside other steamed buns in separate bamboo baskets, all set against a clean white background.","The image showcases a close-up of a steamed dumpling dish served in a bamboo steamer basket, garnished with a piece of broccoli, alongside other steamed buns in separate baskets, all set against a clean white background.",0.2168418169021606,0.92535138130188,32.105445861816406,39.89395904541016,39.14924621582031,0.7447128295898438,0.9757530689239502,0.8723428845405579,0.8678774237632751
416:3:000010003,10003,1,qwen2.5vl,data/mtf2025_web_images/00001/000010003.jpg,"The image showcases a beautifully arranged plate of dumplings accompanied by two small bowls containing vibrant red and dark brown dipping sauces, set against an elegant tablecloth with intricate gold patterns.","The image showcases a plate of steamed dumplings accompanied by two small bowls containing vibrant red and dark brown dipping sauces, set against an ornate, patterned tablecloth.",0.3163975477218628,0.8991965055465698,35.95488739013672,37.19374465942383,36.5966682434082,0.597076416015625,0.9734106063842773,0.8172277212142944,0.8183624148368835
416:4:000010004,10004,1,qwen2.5vl,data/mtf2025_web_images/00001/000010004.jpg,"The image showcases a vibrant red square plate adorned with a piece of grilled chicken topped with a slice of red pepper, accompanied by fresh green vegetables such as snap peas and a whole tomato, all garnished with sprigs of dill, set against a clean white background.","The image showcases a vibrant red square plate adorned with a neatly arranged dish featuring a piece of grilled or baked fish garnished with fresh dill, accompanied by a slice of tomato and a small portion of green vegetables, all set against a clean white background.",0.2746782600879669,0.932158887386322,30.03918838500977,37.415157318115234,41.0808219909668,-3.6656646728515625,0.9491048455238342,0.8458368182182312,0.8461907505989075
416:5:000010005,10005,1,qwen2.5vl,data/mtf2025_web_images/00001/000010005.jpg,"The image showcases a vibrant and colorful bowl of food featuring sliced yellow bell peppers, green beans, leafy greens, onions, and what appears to be grilled or roasted meat, all artfully arranged within a modern, minimalist white bowl against a neutral gray background.","The image showcases a vibrant and appetizing bowl of food featuring a variety of fresh ingredients including green beans, yellow bell peppers, sliced onions, and a piece of grilled or roasted meat, all artfully arranged with a sprig of parsley for garnish.",0.1974000632762909,0.9293836951255798,30.62005424499512,38.146244049072266,36.20014953613281,1.946094512939453,0.934086799621582,0.8058486580848694,0.8148256540298462
416:6:000010006,10006,1,qwen2.5vl,data/mtf2025_web_images/00001/000010006.jpg,"A vibrant plate of colorful shredded vegetables, including carrots, bell peppers, and possibly cabbage, is garnished with sesame seeds, served on a dark plate against a muted gray background.","A vibrant plate of colorful shredded vegetables, including carrots, bell peppers, and possibly cabbage, is artfully arranged on a dark, textured surface, creating a visually appealing and fresh presentation.",0.2934107184410095,0.913443386554718,40.44048309326172,33.149139404296875,33.57686996459961,-0.4277305603027344,0.9363180994987488,0.8517085313796997,0.845084011554718
416:7:000010007,10007,1,qwen2.5vl,data/mtf2025_web_images/00001/000010007.jpg,"The image showcases an array of colorful, fresh ingredients arranged around a large, empty white steamer basket placed centrally on a wooden table, ready for a meal preparation process.","The image showcases an array of colorful and fresh ingredients arranged around a large, empty white steamer basket, ready for cooking, with vibrant plates containing sliced cucumbers, shredded carrots, asparagus, shrimp, sprouts, and avocado, all set against a dark wooden table.",0.2494629770517349,0.9063127636909484,31.71975326538086,35.97026443481445,36.28452301025391,-0.3142585754394531,0.9335569143295288,0.8299821019172668,0.8208827972412109
416:8:000010008,10008,1,qwen2.5vl,data/mtf2025_web_images/00001/000010008.jpg,"The image shows a plate of freshly made dumplings garnished with parsley and a small bowl of red sauce, placed next to a steamer that is actively cooking more dumplings, all set against a bright window background.","The image showcases a plate of freshly steamed dumplings garnished with parsley and served alongside a vibrant red dipping sauce, placed on a white surface near a modern, sleek steamer appliance, all set against a bright window backdrop.",0.334807425737381,0.9006117582321167,34.53561782836914,43.23511505126953,38.86837768554688,4.366737365722656,0.944122850894928,0.8234425783157349,0.8159253001213074
416:9:000010010,10010,1,qwen2.5vl,data/mtf2025_web_images/00001/000010010.jpg,"The image showcases a beautifully plated dish featuring succulent shrimp tempura garnished with fresh green herbs, served alongside a small bowl of dark dipping sauce on a sleek black square plate against a pristine white background.","The image showcases a beautifully plated dish featuring succulent shrimp garnished with fresh green herbs, served alongside a small bowl of dark sauce, all presented on a sleek black square plate against a pristine white background.",0.293929785490036,0.921660304069519,39.17079162597656,41.66699600219727,39.06698226928711,2.600013732910156,0.9850664138793945,0.8597740530967712,0.8526843786239624
416:10:000010011,10011,1,qwen2.5vl,data/mtf2025_web_images/00001/000010011.jpg,"The image shows a steaming basket containing several golden-brown dumplings nestled atop a bed of fresh green cabbage leaves, all set against a vibrant red background.","The image depicts a steaming pot filled with several golden-brown dumplings resting on a bed of green cabbage leaves, creating a vibrant and appetizing presentation.",0.2294881641864776,0.9112734198570251,27.952003479003903,35.23029708862305,37.62028121948242,-2.389984130859375,0.9500732421875,0.7530020475387573,0.7602124214172363
416:11:000010012,10012,1,qwen2.5vl,data/mtf2025_web_images/00001/000010012.jpg,"The image showcases a plate of golden-brown, flaky pastries arranged in a circular pattern, accompanied by a vibrant red sauce, all set against a backdrop of a pink and white checkered tablecloth adorned with a large pink rose.","The image showcases a beautifully arranged plate of golden-brown stuffed pastries, garnished with sliced onions, served alongside a vibrant red sauce, all set against a backdrop of a floral-patterned tablecloth adorned with a large pink rose.",0.4251956939697265,0.9104345440864564,27.360788345336918,29.16319274902344,29.52682113647461,-0.3636283874511719,0.9495924711227417,0.8141529560089111,0.819074809551239
416:12:000010013,10013,1,qwen2.5vl,data/mtf2025_web_images/00001/000010013.jpg,"The image showcases a steaming tray of freshly cooked bao buns, their soft, slightly golden surfaces glistening under the light, accompanied by a variety of side dishes including noodles, pickled vegetables, and what appears to be steamed meat rolls, all arranged neatly on a red tray with chopsticks resting nearby.","The image showcases a steaming tray filled with freshly cooked, round, white buns, likely siu mai or similar dim sum, alongside other traditional Chinese dishes such as steamed vegetables and what appears to be a type of sausage, all presented on a red tray with chopsticks resting nearby.",0.2501606941223144,0.9350693821907043,28.181303024291992,29.90261650085449,31.986492156982425,-2.0838756561279297,0.929580569267273,0.8179031610488892,0.8251258134841919
416:13:000010014,10014,1,qwen2.5vl,data/mtf2025_web_images/00001/000010014.jpg,"The image depicts a traditional Chinese hot pot with a distinctive heart-shaped divider, filled with two distinct broths—one clear and light-colored, likely for seafood, and the other rich and dark red, possibly for spicy meat or vegetables—surrounded by various ingredients such as chili peppers, garlic, and herbs, all contained within an octagonal stainless steel pot.","The image depicts a traditional hot pot dish served in a hexagonal metal pot, featuring a vibrant red broth with visible chili peppers and green onions, alongside a smaller white broth section containing shrimp and other ingredients, creating a visually appealing and flavorful meal setup.",0.2826874256134033,0.8918289542198181,23.524879455566406,38.729713439941406,37.74055480957031,0.9891586303710938,0.8872300386428833,0.7390391230583191,0.7480103373527527
416:14:000010015,10015,1,qwen2.5vl,data/mtf2025_web_images/00001/000010015.jpg,"The image captures a close-up of a person using chopsticks to lift a dumpling from a plate, with a spoonful of sauce and more dumplings in the background, set against a warm wooden table.","The image captures a close-up of a person using chopsticks to lift a steamed dumpling filled with meat and vegetables from a plate, with a small bowl of dipping sauce and more dumplings in the background, set against a warm wooden table.",0.239428237080574,0.9122517704963684,35.066036224365234,39.33639526367188,39.41148376464844,-0.0750885009765625,0.9744811058044434,0.8235102891921997,0.8265756964683533
416:15:000010016,10016,1,qwen2.5vl,data/mtf2025_web_images/00001/000010016.jpg,"The image showcases a plate of steamed dumplings with a vibrant yellow filling, accompanied by slices of dark green vegetables, likely water chestnuts or bamboo shoots, arranged neatly on a white plate with a red logo, set against a simple dining table setup.","The image showcases a plate of dumplings garnished with slices of yellow squash and dark green leafy vegetables, accompanied by a small bowl of dipping sauce, set against a simple dining table backdrop.",0.571731686592102,0.9100581407546996,29.787784576416016,30.95582771301269,30.368661880493164,0.5871658325195312,0.9252058863639832,0.7456271052360535,0.7448832988739014
416:16:000010017,10017,1,qwen2.5vl,data/mtf2025_web_images/00001/000010017.jpg,"The image showcases a traditional Chinese dim sum spread featuring steamed dumplings served in a bamboo steamer basket alongside a plate of fried dumplings, accompanied by small bowls of dipping sauce garnished with green onions, all set against a dark background that highlights the vibrant colors of the food.","The image showcases a traditional Chinese meal featuring steamed dumplings served in a bamboo steamer basket alongside a plate of fried dumplings, accompanied by small bowls of dipping sauce and garnished with fresh green onions, all set against a dark background.",0.3087307214736938,0.9138086438179016,32.36308670043945,35.8924560546875,39.01420974731445,-3.121753692626953,0.9751908779144287,0.8647912740707397,0.8652652502059937
416:17:000010018,10018,1,qwen2.5vl,data/mtf2025_web_images/00001/000010018.jpg,"The image showcases a plate of golden-brown pan-fried dumplings with a crispy exterior and a spoonful of steamed dumplings garnished with chopped green onions, set against a vibrant red background.","The image showcases a plate of golden-brown pan-fried dumplings with a crispy exterior, accompanied by a small white ceramic spoon holding a single dumpling, highlighting its texture and filling. The background features a red tablecloth and white ceramic dishes, creating a warm and inviting dining atmosphere.",0.2457368671894073,0.9023828506469728,30.704666137695312,32.009613037109375,32.17057037353516,-0.1609573364257812,0.9252245426177979,0.7412687540054321,0.7438797950744629
416:18:000010019,10019,1,qwen2.5vl,data/mtf2025_web_images/00001/000010019.jpg,"The image showcases a traditional Korean meal featuring a metal bapbap bowl filled with a variety of ingredients such as rice, sliced vegetables, and possibly meat or seafood, accompanied by smaller side dishes like kimchi and a green leafy vegetable, all set on a wooden table.","The image showcases a traditional Korean meal served in a metal bapbap bowl, containing a variety of ingredients such as rice, sliced vegetables like carrots and green olives, and possibly some meat or seafood, all arranged neatly on a wooden tray with other side dishes in small bowls in the background.",0.2052890211343765,0.9373976588249208,30.37225341796875,31.17042732238769,31.56929397583008,-0.3988666534423828,0.9510730504989624,0.8425228595733643,0.84046870470047
416:19:000010020,10020,1,qwen2.5vl,data/mtf2025_web_images/00001/000010020.jpg,"The image showcases a vibrant stir-fry dish served in a square wooden bowl, featuring a colorful medley of ingredients including sliced onions, red bell peppers, green onions, and chunks of what appears to be tofu or chicken, garnished with fresh cilantro leaves, all arranged on a bamboo mat background.","The image showcases a vibrant stir-fry dish served in a square wooden bowl, featuring tender pieces of chicken, colorful bell peppers, sliced onions, and fresh cilantro garnish, all arranged over a bamboo mat background.",0.3929335176944732,0.9045352935791016,33.634620666503906,33.468318939208984,34.6906623840332,-1.2223434448242188,0.9574066400527954,0.8193798661231995,0.8292084336280823
416:20:000010021,10021,1,qwen2.5vl,data/mtf2025_web_images/00001/000010021.jpg,"The image depicts a plate of steamed dumplings with a pair of chopsticks resting on top, accompanied by a small bowl of dipping sauce, all set against a striped fabric background.","The image depicts a plate of steamed dumplings with a pair of chopsticks resting on top, accompanied by a small bowl of dipping sauce, all set against a striped placemat.",0.3344243168830871,0.9116171598434448,23.391658782958984,33.848907470703125,34.104244232177734,-0.2553367614746094,0.9832485318183899,0.724624752998352,0.7208609580993652
416:21:000010022,10022,1,qwen2.5vl,data/mtf2025_web_images/00001/000010022.jpg,"A square white ceramic dish holds several pieces of pan-fried dumplings with a golden-brown exterior and a slightly translucent filling, arranged casually against a clean white background.","A square white ceramic dish holds several pieces of pan-fried dumplings with a golden-brown exterior, arranged casually against a clean white background.",0.4617258310317993,0.9171812534332277,43.68019104003906,39.485816955566406,38.65648651123047,0.8293304443359375,0.9851868152618408,0.8999547958374023,0.9073913097381592
